features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-20_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2,nn-20_gt-2,nn-2_gt-3,nn-5_gt-3,nn-10_gt-3,nn-20_gt-3,nn-2_gt-4,nn-5_gt-4,nn-10_gt-4,nn-20_gt-4
cunninglinguist81,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,1,2,3,9,0,2,3,9,0,2,3,9,0,0,3,9
WadeK,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
BigBrownDownTown,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
woodukindly_bruh,NA,5,1,4,0,5,1,4,0,5,1,4,0,0,1,4
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,6,8,0,NA,6,8,0,NA,6,8,0,0,6,8
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
150c_vapour,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
150c_vapour,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,2,5,9,16,0,5,9,16,0,5,9,16,0,0,9,16
cunninglinguist81,NA,NA,2,5,0,NA,2,5,0,NA,2,5,0,0,2,5
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,2,2,4,7,0,2,4,7,0,2,4,7,0,0,4,7
Dexaan,NA,NA,1,1,0,NA,1,1,0,NA,1,1,0,0,1,1
Dexaan,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
Tnargkiller,NA,NA,8,14,0,NA,8,14,0,NA,8,14,0,0,8,14
CannedBullet,NA,2,1,3,0,2,1,3,0,2,1,3,0,0,1,3
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,3,5,0,NA,3,5,0,NA,3,5,0,0,3,5
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,4,0,NA,NA,4,0,NA,NA,4,0,0,NA,4
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,1,2,2,0,1,2,2,0,1,2,2,0,0,2,2
Heliocentrist,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
Stolichnayaaa,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,6,11,0,NA,6,11,0,NA,6,11,0,0,6,11
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,1,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
woodukindly_bruh,NA,NA,7,17,0,NA,7,17,0,NA,7,17,0,0,7,17
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,3,1,0,NA,3,1,0,NA,3,1,0,0,3,1
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,1,1,0,NA,1,1,0,NA,1,1,0,0,1,1
Dexaan,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
Dexaan,2,2,2,1,0,2,2,1,0,2,2,1,0,0,2,1
Stolichnayaaa,NA,5,8,11,0,5,8,11,0,5,8,11,0,0,8,11
PhysicianDre,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Dexaan,NA,2,3,7,0,2,3,7,0,2,3,7,0,0,3,7
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,3,6,0,NA,3,6,0,NA,3,6,0,0,3,6
kodefuguru,NA,NA,6,10,0,NA,6,10,0,NA,6,10,0,0,6,10
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
cunninglinguist81,NA,2,2,5,0,2,2,5,0,2,2,5,0,0,2,5
Asphyxiatinglaughter,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,4,9,12,0,4,9,12,0,4,9,12,0,0,9,12
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,2,2,2,1,0,2,2,1,0,2,2,1,0,0,2,1
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
Dexaan,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
ShouldBeAnUpvoteGif,NA,5,7,10,0,5,7,10,0,5,7,10,0,0,7,10
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,1,2,6,4,0,2,6,4,0,2,6,4,0,0,6,4
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
Dexaan,1,2,4,1,0,2,4,1,0,2,4,1,0,0,4,1
Dexaan,NA,NA,3,3,0,NA,3,3,0,NA,3,3,0,0,3,3
Dexaan,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
Heliocentrist,NA,3,4,7,0,3,4,7,0,3,4,7,0,0,4,7
Heliocentrist,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Heliocentrist,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
Heliocentrist,NA,NA,4,7,0,NA,4,7,0,NA,4,7,0,0,4,7
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,5,11,0,NA,5,11,0,NA,5,11,0,0,5,11
Heliocentrist,1,2,4,4,0,2,4,4,0,2,4,4,0,0,4,4
Dexaan,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
150c_vapour,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,8,15,0,NA,8,15,0,NA,8,15,0,0,8,15
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Dexaan,NA,NA,3,6,0,NA,3,6,0,NA,3,6,0,0,3,6
Dexaan,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
Dexaan,2,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
Dexaan,NA,NA,1,2,0,NA,1,2,0,NA,1,2,0,0,1,2
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,2,2,8,0,2,2,8,0,2,2,8,0,0,2,8
veggielover24,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,4,2,0,2,4,2,0,2,4,2,0,0,4,2
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
CannedBullet,NA,3,4,8,0,3,4,8,0,3,4,8,0,0,4,8
JacksonGuitarguy,NA,NA,5,9,0,NA,5,9,0,NA,5,9,0,0,5,9
JacksonGuitarguy,1,4,2,4,0,4,2,4,0,4,2,4,0,0,2,4
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,2,3,7,2,0,3,7,2,0,3,7,2,0,0,7,2
150c_vapour,NA,NA,3,3,0,NA,3,3,0,NA,3,3,0,0,3,3
Heliocentrist,NA,3,6,9,0,3,6,9,0,3,6,9,0,0,6,9
Heliocentrist,NA,3,1,1,0,3,1,1,0,3,1,1,0,0,1,1
Heliocentrist,NA,4,6,1,0,4,6,1,0,4,6,1,0,0,6,1
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,4,5,11,0,4,5,11,0,4,5,11,0,0,5,11
ShouldBeAnUpvoteGif,NA,3,1,3,0,3,1,3,0,3,1,3,0,0,1,3
WadeK,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
Dexaan,1,2,2,1,0,2,2,1,0,2,2,1,0,0,2,1
Heliocentrist,NA,2,1,3,0,2,1,3,0,2,1,3,0,0,1,3
JacksonGuitarguy,2,4,6,4,0,4,6,4,0,4,6,4,0,0,6,4
CannedBullet,NA,NA,2,2,0,NA,2,2,0,NA,2,2,0,0,2,2
InVultusSolis,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,4,8,4,0,4,8,4,0,4,8,4,0,0,8,4
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
j_strange888,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
PhysicianDre,NA,NA,7,11,0,NA,7,11,0,NA,7,11,0,0,7,11
Dexaan,2,1,1,3,0,1,1,3,0,1,1,3,0,0,1,3
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,2,2,4,7,0,2,4,7,0,2,4,7,0,0,4,7
FearDaNeard,NA,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,3,7,0,NA,3,7,0,NA,3,7,0,0,3,7
somekid66,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
kodefuguru,NA,NA,6,3,0,NA,6,3,0,NA,6,3,0,0,6,3
Dexaan,NA,NA,3,1,0,NA,3,1,0,NA,3,1,0,0,3,1
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
xENO_,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
veggielover24,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
RonaId_Trump,NA,4,2,5,0,4,2,5,0,4,2,5,0,0,2,5
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,1,3,1,2,0,3,1,2,0,3,1,2,0,0,1,2
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,1,2,3,7,0,2,3,7,0,2,3,7,0,0,3,7
PhysicianDre,NA,1,2,4,0,1,2,4,0,1,2,4,0,0,2,4
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,3,7,0,NA,3,7,0,NA,3,7,0,0,3,7
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
PhysicianDre,NA,1,1,3,0,1,1,3,0,1,1,3,0,0,1,3
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,1,2,3,1,0,2,3,1,0,2,3,1,0,0,3,1
Heliocentrist,1,1,3,4,0,1,3,4,0,1,3,4,0,0,3,4
Stolichnayaaa,NA,NA,7,12,0,NA,7,12,0,NA,7,12,0,0,7,12
Stolichnayaaa,NA,4,8,13,0,4,8,13,0,4,8,13,0,0,8,13
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Hcysntmf,NA,NA,5,9,0,NA,5,9,0,NA,5,9,0,0,5,9
Gillig4n,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
WadeK,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Dexaan,1,2,2,4,0,2,2,4,0,2,2,4,0,0,2,4
Heliocentrist,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
Heliocentrist,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
150c_vapour,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,1,2,4,7,0,2,4,7,0,2,4,7,0,0,4,7
Zulucandle,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Dexaan,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
PhysicianDre,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,4,7,14,0,4,7,14,0,4,7,14,0,0,7,14
Dexaan,1,2,3,1,0,2,3,1,0,2,3,1,0,0,3,1
Dexaan,NA,NA,3,6,0,NA,3,6,0,NA,3,6,0,0,3,6
Zulucandle,NA,NA,9,16,0,NA,9,16,0,NA,9,16,0,0,9,16
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
